timestamp,ticker,fpart,lpart,fpart_usd_price,lpart_usd_price,total_longs,total_longs_usd,total_shorts,total_shorts_usd,long_funding,long_funding_usd,short_funding,short_funding_usd,overall_ls_ratio,as_percent_long,as_percent_short,long_funding_rate,short_funding_rate,long_funding_charge,short_funding_charge
2019-05-01 14:19:23.645888,tBTCUSD,BTC,USD,5612,5612,18066,101386392,30599,171721588,148647345,834208900140,26902,150974024,37:62,0.1,0.17,0.00024,0.00078,35675.0,20.984
2019-05-01 14:19:23.645888,tBTCEUR,BTC,EUR,5612,5612,477,2676924,808,4534496,822389,4615247068,803,4506436,37:62,0.0027,0.0046,0.00051,0.00078,419.42,0.62634
2019-05-01 14:19:23.645888,tETHUSD,ETH,USD,168.1,168.1,356423,59914706,111676,18772736,28442867,4781245943,99500,16725950,76:23,0.34,0.11,0.00024,1.7e-05,6826.3,1.6915
2019-05-01 14:19:23.645888,tEOSUSD,EOS,USD,4.9539,4.9539,11173275,55351287,5812259,28793350,21822457,108106270,5656322,28020854,65:34,1.2,0.62,0.00024,6.7e-05,5237.4,378.97
2019-05-01 14:19:23.645888,tEOSBTC,EOS,BTC,4.9539,4.9539,746046,3695837,263380,1304758,693,3433,263084,1303292,73:26,0.079,0.028,0.00078,6.7e-05,0.54054,17.627
2019-05-01 14:19:23.645888,tXRPUSD,XRP,USD,0.31752,0.31752,71188746,22603851,9408842,2987496,13104924,4161075,8288407,2631735,88:11,0.17,0.022,0.00024,0.0002,3145.2,1657.7
2019-05-01 14:19:23.645888,tXRPBTC,XRP,BTC,0.31752,0.31752,37307916,11846009,3393803,1077600,2242,712,3384083,1074514,91:8,0.089,0.0081,0.00078,0.0002,1.7488,676.82
2019-05-01 14:19:23.645888,tBABUSD,BAB,USD,280.8,280.8,13166,3697013,49107,13789246,2900252,814390762,48899,13730839,21:78,0.074,0.28,0.00024,0.00016,696.06,7.8238
2019-05-01 14:19:23.645888,tBABBTC,BAB,BTC,280.8,280.8,564,158371,4119,1156615,24,6739,4117,1156054,12:87,0.0032,0.023,0.00078,0.00016,0.01872,0.65872
2019-05-01 14:19:23.645888,tLTCUSD,LTC,USD,76.599,76.599,307942,23588049,118930,9109919,12191964,933892250,112982,8654308,72:27,0.5,0.19,0.00024,5.2e-05,2926.1,5.8751
2019-05-01 14:19:23.645888,tLTCBTC,LTC,BTC,76.599,76.599,22689,1737955,15352,1175948,269,20605,13443,1029720,59:40,0.037,0.025,0.00078,5.2e-05,0.20982,0.69904
